,start_longitude,start_latitude,end_longitude,end_latitude,start_longitude_utm,start_latitude_utm,end_longitude_utm,end_latitude_utm,hour,daytype
23270,4.83045,52.356,4.853,52.36526,117070.81628255616,485490.2040905812,118614.62144433701,486508.93282441236,23,weekday
23267,4.82943,52.35631,4.85741,52.364670000000004,117001.59463418945,485525.2296507112,118914.50889002872,486441.0829892834,23,weekday
23271,4.92574,52.355959999999996,4.947019999999999,52.313190000000006,123562.40290388171,485440.15481881663,124983.2108945054,480672.4369628914,23,weekday
23275,4.85436,52.35326,4.8764199999999995,52.342079999999996,118697.43568511549,485173.1013050089,120191.59516539579,483918.3676185211,23,weekday
23293,4.8871199999999995,52.367290000000004,4.91261,52.37068,120940.11273987363,486718.21380027925,122678.6452407008,487083.721976609,23,weekday
23288,4.83549,52.37931,4.91442,52.36865,117433.90861296255,488081.10743300075,122800.43724453116,486857.05212020455,23,weekday
23268,4.83197,52.35938,4.85795,52.36407,117177.2467166141,485865.4761342318,118950.80154662835,486374.0566910933,23,weekday
23291,4.83608,52.35933,4.87678,52.38155,117457.17526854505,485857.77608669846,120247.0560045468,488309.7335077565,23,weekday
23284,4.91862,52.34899,4.94114,52.33987,123072.33883252929,484667.76513498445,124600.51340077157,483643.3677206032,23,weekday
23289,4.92026,52.33837,4.95029,52.354690000000005,123176.46988089432,483485.4351120782,125234.02368712118,485288.48601985583,23,weekday
23295,4.89459,52.37608,4.8859900000000005,52.33162,121455.52394459007,487692.731670314,120835.70751899757,482750.01235386584,23,weekday
23290,4.88443,52.38369,4.83582,52.35349,120769.56286490583,488544.19560257054,117434.52088584879,485208.13923332054,23,weekday
23283,4.93845,52.34929,4.9309400000000005,52.35606,124423.67875223592,484692.5943210781,123916.72353808138,485449.0384363703,23,weekday
23292,4.90142,52.37376,4.96391,52.37571,121918.87625270165,487431.46162724897,126175.57468525972,487621.73628780287,23,weekday
23286,4.8998099999999996,52.36111,4.8853599999999995,52.35453,121799.7736508234,486024.7208896693,120810.41309291412,485299.3297987658,23,weekday
23294,4.90089,52.37405,4.92981,52.39762,121883.00101303248,487463.9699994606,123868.92678042938,490073.63121820963,23,weekday
1127,4.87165,52.32748,4.919,52.34969,119854.98462640161,482296.2428199447,123098.73351032217,484745.4817317238,23,weekday
1115,4.88708,52.36977,4.83589,52.35304,120939.29259793795,486994.1646528543,117438.90903080013,485158.0349716651,23,weekday
1114,4.8751,52.36468,4.900180000000001,52.365759999999995,120119.4085297265,486433.53474171256,121828.45359774263,486541.92398239207,23,weekday
1136,4.90977,52.37099,4.89352,52.40214,122485.4615424565,487119.48389775545,121402.41742084923,490592.7526879084,23,weekday
1130,4.88858,52.37573,4.95332,52.31673,121046.01072390747,487656.5884103979,125415.17042190157,481063.7156384158,23,weekday
1138,4.85193,52.36272,4.88006,52.36643,118539.65594460058,486226.863668651,120458.60407177955,486625.8690855027,23,weekday
1149,4.87959,52.3647,4.89236,52.36541,120425.24474813162,486433.6085433456,121295.56808125974,486506.5898527519,23,weekday
1129,4.9239,52.36326,4.88897,52.37012,123442.24459665362,486253.1742842549,121068.27636943685,487032.22011683084,23,weekday
1154,4.9158599999999995,52.35951,4.95385,52.31695,122891.89569893791,485839.46921147784,125451.45501608748,481087.97719891276,23,weekday
1137,4.87226,52.379220000000004,4.84658,52.38459,119937.46702299362,488052.667783275,118193.39686749817,488662.88443065895,23,weekday
